Countries and areas,Year,Latitude ,Longitude,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,% of GDP,Completion_Rate_Primary_Total,Completion_Rate_Lower_Secondary_Total,Completion_Rate_Upper_Secondary_Total,Youth_Literacy_Rate_Total,Gender_Parity_Primary,Gender_Parity_Lower_Secondary,Gender_Parity_Upper_Secondary
Laos,2021,19.85627,102.495496,84,83,54,53,32,31,0,0,102.4,15,15.6,167,107,63,0,0.988095238,0.981481481,0.96875
Latvia,2021,56.879635,24.603189,0,0,0,0,0,0,100,100,99.4,88.1,3.8,0,0,0,200,0,0,0
Lebanon,2021,33.854721,35.862285,0,0,0,0,0,0,100,100,95.1,26.3,6.1,0,0,0,200,0,0,0
Lesotho,2021,29.609988,28.233608,69,92,33,55,27,37,0,0,120.9,10.2,2.9,161,88,64,0,1.333333333,1.666666667,1.37037037
Liberia,2021,6.428055,9.429499,36,33,29,23,18,9,0,0,85.1,11.9,4.7,69,52,27,0,0.916666667,0.793103448,0.5
Libya,2021,26.3351,17.228331,0,0,0,0,0,0,0,0,109,60.5,2.5,0,0,0,0,0,0,0
Liechtenstein,2021,47.1410392,9.520935,0,0,0,0,0,0,0,0,104.7,35.6,6.5,0,0,0,0,0,0,0
Lithuania,2021,55.169438,23.881275,0,0,0,0,0,0,0,0,103.9,72.4,2.3,0,0,0,0,0,0,0
Luxembourg,2021,49.815273,6.129583,0,0,0,0,0,0,0,0,102.3,19.2,2.3,0,0,0,0,0,0,0
Madagascar,2021,18.766947,46.869107,52,60,26,27,16,15,82,81,142.5,5.4,2.1,112,53,31,163,1.153846154,1.038461538,0.9375
Malawi,2021,13.254308,34.301525,43,52,23,21,15,13,0,0,142.5,0.8,4,95,44,28,0,1.209302326,0.913043478,0.866666667
Malaysia,2021,4.210484,101.975766,0,0,0,0,0,0,97,97,105.3,45.1,4,0,0,0,194,0,0,0
Mali,2021,17.570692,3.996166,50,41,36,25,23,12,58,43,75.6,4.5,2.8,91,61,35,101,0.82,0.694444444,0.52173913
Malta,2021,35.937496,14.375416,0,0,0,0,0,0,99,100,105,54.3,4,0,0,0,199,0,0,0
Marshall Islands,2021,7.131474,171.184478,0,0,0,0,0,0,0,0,84.7,23.7,4.7,0,0,0,0,0,0,0
Mauritania,2021,21.00789,10.940835,68,58,53,40,31,23,0,0,99.9,5,4.1,126,93,54,0,0.852941176,0.754716981,0.741935484
Mauritius,2021,20.348404,57.552152,0,0,0,0,0,0,99,99,101.1,40.6,3.1,0,0,0,198,0,0,0
Mexico,2021,23.634501,102.552784,98,98,87,90,56,60,99,99,105.8,40.2,5.3,196,177,116,198,1,1.034482759,1.071428571
Micronesia,2021,7.425554,150.550812,0,0,0,0,0,0,0,0,97.2,14.1,15.8,0,0,0,0,0,0,0
Moldova,2021,47.411631,28.369885,99,99,95,98,63,71,0,0,90.6,39.8,2.6,198,193,134,0,1,1.031578947,1.126984127
Monaco,2021,43.7384176,7.4246158,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0
Mongolia,2021,46.862496,103.846656,96,98,87,93,60,73,98,99,104,65.6,4.9,194,180,133,197,1.020833333,1.068965517,1.216666667
Montenegro,2021,42.708678,19.37439,95,98,93,97,83,90,99,99,100,56.1,10.5,193,190,173,198,1.031578947,1.043010753,1.084337349
Morocco,2021,31.791702,7.09262,0,0,0,0,0,0,98,97,113.9,35.9,6.7,0,0,0,195,0,0,0
Mozambique,2021,18.665695,35.529562,44,39,15,11,8,5,0,0,112.6,7.3,1.5,83,26,13,0,0.886363636,0.733333333,0.625
Myanmar,2021,21.916221,95.955974,82,84,45,45,14,19,0,0,112.3,18.8,4.1,166,90,33,0,1.024390244,1,1.357142857
Nauru,2021,0.522778,166.931503,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0
Nepal,2021,28.394857,84.124008,81,83,71,75,27,28,94,91,142.1,12.4,6.5,164,146,55,185,1.024691358,1.056338028,1.037037037
Netherlands,2021,52.132633,5.291266,0,0,0,0,0,0,0,0,104.2,85,2.2,0,0,0,0,0,0,0
New Zealand,2021,40.900557,174.885971,0,0,0,0,0,0,0,0,100,82,8.4,0,0,0,0,0,0,0
Nicaragua,2021,12.865416,85.207229,0,0,0,0,0,0,0,0,120.6,17.4,4.9,0,0,0,0,0,0,0
Niger,2021,17.607789,8.081666,35,24,10,4,4,1,51,36,74.7,4.4,5.2,59,14,5,87,0.685714286,0.4,0.25
Nigeria,2021,9.081999,8.675277,71,71,66,59,57,44,82,68,84.7,10.2,5.5,142,125,101,150,1,0.893939394,0.771929825
North Korea,2021,40.339852,127.510093,100,100,100,100,100,100,0,0,112.8,27,6.4,200,200,200,0,1,1,1
North Macedonia,2021,41.608635,21.745275,97,100,93,95,86,79,0,0,0,0,4.3,197,188,165,0,1.030927835,1.021505376,0.918604651
Norway,2021,60.472024,8.468946,0,0,0,0,0,0,0,0,100.3,82,3.5,0,0,0,0,0,0,0
Oman,2021,21.4735329,55.975413,0,0,0,0,0,0,98,99,103.4,38,5.94,0,0,0,197,0,0,0
Palau,2021,7.51498,134.58252,0,0,0,0,0,0,0,0,112.6,54.7,3.3,0,0,0,0,0,0,0
Panama,2021,8.537981,80.782127,95,96,75,81,57,68,99,99,94.4,47.8,8,191,156,125,198,1.010526316,1.08,1.192982456
Papua New Guinea,2021,6.314993,143.95555,0,0,0,0,0,0,0,0,108.5,1.8,6.8,0,0,0,0,0,0,0
Paraguay,2021,23.442503,58.443832,93,96,81,79,60,67,98,99,104.4,34.6,2.9,189,160,127,197,1.032258065,0.975308642,1.116666667
Peru,2021,9.189967,75.015152,95,95,83,83,78,72,99,99,106.9,70.7,7.6,190,166,150,198,1,1,0.923076923
Philippines,2021,12.879721,121.774017,89,95,75,88,74,83,0,0,107.5,35.5,4.1,184,163,157,0,1.06741573,1.173333333,1.121621622
Poland,2021,51.919438,19.145136,0,0,0,0,0,0,0,0,100,67.8,1.9,0,0,0,0,0,0,0
Portugal,2021,39.399872,8.224454,0,0,0,0,0,0,100,100,106.2,63.9,3.4,0,0,0,200,0,0,0
Qatar,2021,25.354826,51.183884,0,0,0,0,0,0,0,0,103.8,17.9,3.9,0,0,0,0,0,0,0
Romania,2021,45.943161,24.96676,0,0,0,0,0,0,99,99,85.2,49.4,3.2,0,0,0,198,0,0,0
Russia,2021,61.52401,105.318756,0,0,0,0,0,0,100,100,102.6,81.9,4.6,0,0,0,200,0,0,0
Rwanda,2021,1.940278,29.873888,48,61,25,30,19,16,84,89,133,6.7,4.9,109,55,35,173,1.270833333,1.2,0.842105263
Saint Lucia,2021,13.909444,60.978893,99,99,85,98,70,90,0,0,102.6,14.1,2.9,198,183,160,0,1,1.152941176,1.285714286
